Customers with highest no. of transactions,,,,Customers bringing maximum revenue,,,,Part numbers with maximum revenue,,,,Part numbers with maximum margin,,
Row Labels,Count of custname,,,Row Labels,Sum of revenue,,,Row Labels,Sum of revenue,,,Row Labels,Sum of margin,
CUSTOM HEAT LLC,1,,,SOURLIS GLASS STUDIO,381.48,,,782060000,5481.23,,,780561000,2624.88,
BRI SPECIALTY PRODUCTS,1,,,TROXLER ELECTRONIC,381.48,,,791104277,5457.78,,,779988960,2616.4,
D & M HYDRAULIC,1,,,CENTURYVALLEN,381.48,,,754886000,5370.96,,,777730021,2605.2,
APEX PIPELINE SERVICES,1,,,"ABLE AEROSPACE, INC.",381.48,,,741061000,5366.07,,,734752000,2599.76,
AMERICAN DESIGN &,1,,,BOEING,381.48,,,737550400,5352.12,,,793330074,2597.97,
BROCK WHITE CONSTRUCTION,1,,,SDM & ASSOCIATES INC,380.8,,,793330074,5347,,,739841000,2596.38,
DAVIS SALES AGENCY,1,,,SAFT AMERICA INC,380.8,,,764563100,5328,,,767500000,2594.38,
AUSCO PRODUCTS INC.,1,,,EVIE AULT,380.8,,,754287000,5313.16,,,737201000,2588.08,
DEAS CONSTRUCTION,1,,,STUDIO BEL VETRO,379.52,,,777903000,5291.72,,,779958865,2582.42,
APPLIED INDUSTRIAL,1,,,SEALTHERM CORP,379.52,,,764825000,5280,,,779988145,2559.68,
DELPHI AUTOMOTIVE SYSTEMS,1,,,PANDO LLC,374,,,777643000,5278.5,,,777905415,2551.22,
AUTOMATIC MACHINE PRODUCT,1,,,ALYSSA OXLEY,371.2,,,765702000,5250,,,738441000,2549.83,
"BENGAL SUPPLY, LLC",1,,,THERMAL NORTHWEST,366.5,,,770262000,5249.25,,,779201000,2535.12,
ANCHOR ACQUISTION LLC,1,,,OLYMPIC CRANES & FABRICAT,364.8,,,795210000,5230.08,,,768232000,2490.21,
DFAS COLUMBUS CENTER,1,,,HONEYWELL INC           ',364.8,,,780561000,5148.36,,,739681200,2487.72,
ACCEL-RF CORPORATION,1,,,ASPEN PRODUCTS GROUP,364.64,,,785780000,5131.8,,,768132210,2481.68,
DILLON SUPPLY COMPANY,1,,,DELPHI AUTOMOTIVE SYSTEMS,364.25,,,777587000,5109.1,,,727000070,2445.3,
AKRO-FIREGUARD,1,,,PRAXAIR INC.,362.23,,,777950000,5103.36,,,779958688,2439.57,
ADVANCED THERMAL BATTERIE,1,,,M DAVIS & SONS,362,,,779959401,5077.44,,,779959709,2438.34,
BUFFALO DENTAL,1,,,POLYMERIC EXTRUDED PROD.,360,,,777750073,5019.58,,,764902301,2430.2,
CHARLES JOHNSTON,1,,,FRIEDMAN ELECTRIC SUPPLY,360,,,733484700,5008,,,764601051,2415.42,
ALBATROSS UV,1,,,BURNHAM INSULATION,359.7,,,768753000,5006.64,,,779959909,2407.35,
CHASE SPECIALTY COATINGS,1,,,UTLX CARROTANQUES,359.55,,,791003400,5004,,,782020000,2393.2,
BULLSEYE INDUSTRIAL,1,,,NATHAN DEKKENGA,350.56,,,780330000,4977.43,,,733832010,2385.98,
CHEM-CLAY CORPORATION,1,,,NASA - MARSHALL SPACE,350.56,,,764902301,4972,,,742501300,2380.24,
AVIATION PRODUCTS INTL EK,1,,,KERDEA TECHNOLOGIES INC.,348,,,777902888,4935,,,737915000,2369.12,
CHEVRON,1,,,VACUUM OVEN,346,,,733403230,4917,,,754307000,2367.2,
"AVIS INDUSTRIES, INC.",1,,,MI-T-M CORP,346,,,732650000,4881.61,,,767501000,2359.6,
BALLARD MATERIAL PRODUCTS,1,,,INTERNATIONAL TURBING SYS,346,,,779958690,4876.8,,,779956886,2342.79,
ALBEMARLE CORPORATION,1,,,KENNETH INDUSTRIAL,345.6,,,777580000,4871.75,,,777691862,2335.89,
BALTIMORE RUBBER & GASKET,1,,,SIERRA LOBO,341.5,,,777692262,4827.45,,,767970110,2320.38,
DOMTAR A.W. LLC,1,,,RENO CONSTRUCTION CO LLC,341.5,,,776131000,4801.88,,,779959908,2313.63,
CLAUDIUS PETERS,1,,,AVMAX SPARES,334,,,733011000,4800,,,768753000,2312.5,
AVMAX SPARES,1,,,A P S TECHNOLOGY,333,,,768251400,4770,,,779958690,2273.55,
CLEMSON UNIVERSITY,1,,,RIVE TECHNOLOGY,332,,,724401500,4765.5,,,764825000,2272.27,
C T TAKAHASHI CO.,1,,,CHANDLER ENGINEERING,332,,,779958512,4712.76,,,770140000,2271.63,
CLINTON POTTERY,1,,,UNIVERSITY OF WISCONSIN,328.5,,,754317000,4712.4,,,764827503,2250.79,
C.F. ROARK WELDING & ENG,1,,,WASHINGTON UNIVERISTY IN,326.5,,,739781101,4697.48,,,779957613,2227.89,
COASTAL IGNITION &,1,,,SUNCOAST CHEMICALS,326.5,,,732630000,4683.15,,,777652674,2225.7,
C.I. MILPA S.A.,1,,,FRYE & ROWE,326.5,,,779957054,4652.9,,,754286000,2217.76,
BASF,1,,,CODY SALES & SERVICE,326.5,,,777690462,4640.4,,,777692462,2212.66,
CABOT CORP,1,,,UNIVERSITY OF MINN,326,,,779980289,4637.25,,,779951086,2193,
ANCHOR INSULATION,1,,,"MIURA CANADA CO., LTD.",326,,,777888894,4590,,,777903700,2180.55,
APPLIED POROUS TECH.,1,,,ALBATROSS UV,326,,,739454500,4569.6,,,733464900,2175.79,
COMMERCIAL HEATING SUPPLY,1,,,BURKHART REFRACTORY INST.,321,,,779958676,4551.12,,,777780073,2171.11,
ALBERTUS ENGINEERING INC.,1,,,TAYLOR DEVICES,320,,,734040000,4546.5,,,779181000,2157.01,
COMPLIANCE INSPECTION,1,,,UNIVERSITY OF NOTRE DAME,320,,,774901000,4546.2,,,737671000,2151.7,
CAMERON MANUFACTURING,1,,,NAVAL RESEARCH LABORATORY,320,,,779221000,4525.45,,,737821000,2148.38,
ADVANCED RADIATION CORP,1,,,SL PACIFIC,319,,,779958247,4513.6,,,779987564,2140.72,
B F GOODRICH CO,1,,,MARLIN ENGINEERING INC.,313,,,777652474,4491.5,,,779958676,2139.09,
CONSOLIDATED METAL PRODUC,1,,,LAWRENCE ELECTRONICS CO.,313,,,764785130,4480,,,777643000,2122.41,
ABSORPTION CORP.,1,,,QUICK CUT GASKET & RUBBER,313,,,766541100,4480,,,764827504,2121,
CONSUTECH SYSTEMS LLC,1,,,GREENING ASSOCIATES INC,313,,,766686000,4474,,,768127000,2120.62,
ALCHEMY SOUTH,1,,,G.W. LISK CO,313,,,754487000,4462.75,,,791104481,2112.3,
CORE PIPE,1,,,DOT/FAA TECHNICAL CENTER,313,,,791104480,4452.72,,,768251400,2107.12,
A. R. THOMSON LTD.,1,,,H.E.I.,313,,,777590000,4401.14,,,742501400,2097.14,
CORNING GLASS WORKS,1,,,HICKORY INDUSTRIES,313,,,782020000,4390.04,,,779980285,2082.6,
ARMENA REFINING USA,1,,,J&J TRUCK EQUIPMENT CO.,313,,,779956874,4387.46,,,779956842,2074.74,
AMCOR AMERICAN METALS,1,,,ADVANCED THERMAL BATTERIE,313,,,779951086,4386,,,764781300,2074.35,
CARLISLE BRAKE & FRICTION,1,,,GENERAL ELECTRIC CO,310.6,,,779958688,4381.92,,,733602010,2070.58,
AMECO USA,1,,,HUDSON STUDIOS,305.4,,,764261600,4377.6,,,766688000,2064.5,
B&R ENGINEERING,1,,,VASTEX INTERNATIONAL,300,,,754307000,4343.72,,,742546000,2059.78,
AMERET LLC,1,,,"HOMEFIRES, AQR, INC.",300,,,795762000,4340.4,,,764483200,2046.53,
ALCOA INC.,1,,,SWANTON WELDING&MACHINING,298,,,733496000,4328,,,738501000,2045.45,
CREATIVE ENGINEERS,1,,,SANDY WALLIN INC.,298,,,777902892,4317.3,,,777694062,2035.26,
CASCADE DESIGNS,1,,,VIRGINIA TECH,298,,,771000000,4316,,,784210000,2034.82,
CROWN BATTERY MFG. CO.,1,,,HARRIS COMPANIES,298,,,733834800,4311.77,,,777690162,2022.72,
CASHCO INC.,1,,,KEN MAXWELL,298,,,779988243,4273.5,,,779956874,2005.69,
BAY INSULATION,1,,,INTEGRAL PRODUCTS,298,,,793580000,4271.8,,,785890000,2003.44,
CASSO SOLAR,1,,,EYE THINK INC.,298,,,733602010,4263.84,,,770400000,2001.97,
CUSTOM MACHINE & DESIGN,1,,,GEORGIA TECH,298,,,779958171,4259.08,,,774401000,2000.34,
CAST ALUMINUM SOLUTIONS,1,,,BRAND ENERGY SERVICES LLC,298,,,759651000,4246.76,,,766541100,1991.03,
BAY INSULATION OF TEXAS,1,,,CUSTOM HEAT LLC,298,,,780401000,4239.36,,,742548000,1990.8,
CATACEL,1,,,CENTRAL GLASS PRODUCT INC,298,,,733423720,4211.2,,,739761101,1984.84,
D. W. MACK CO,1,,,MEGADIAMOND,295,,,777902887,4200,,,777590000,1979.32,
CAT-I MFG,1,,,SION POWER CORP,293.25,,,777730600,4194,,,764489300,1978.35,
DANNER CORPORATION,1,,,ICC INDUSTRIAL CHIMNEY CO,287.95,,,779958689,4118.4,,,745471000,1968.7,
APPLIED PRODUCTS INC.,1,,,BROCK WHITE CONSTRUCTION,287.5,,,779988847,4118.4,,,764261600,1964.04,
DARK CORNER GLASS,1,,,AMERICRAFT MFG CO.,286.2,,,749906600,4091.93,,,764222000,1961.21,
CDI WORLDWIDE,1,,,TAMPA RUBBER & GASKET,286,,,779957613,4045.44,,,733834800,1949.77,
DAVID H. SUTHERLAND & CO.,1,,,PHELPS INDUSTRIAL PRODUCT,286,,,777690962,4039.56,,,779958689,1942.5,
ALCOA TECH CENTER,1,,,PARKER AEROSPACE,275.84,,,739681200,4004.64,,,733496000,1939.64,
"DAVIS-STANDARD, LLC",1,,,HEAT TREATING SERVICES,275.45,,,764827504,4003.58,,,765541000,1936.72,
A P S TECHNOLOGY,1,,,DCO ENERGY,275.45,,,779959709,3995.56,,,779984680,1933.5,
DeANGELO,1,,,WALTER MORENO,271.5,,,779957955,3987.72,,,770524000,1918.73,
CENTRAL GLASS PRODUCT INC,1,,,SKIDMORE COLLEGE,270,,,733501550,3986.13,,,781570000,1909.82,
ARGOS CEMENT LLC,1,,,PK CONTRACTING INC,269,,,780720000,3963.6,,,770026100,1899.29,
CENTURY ALUMINUM OF,1,,,PICA MFG. SOLUTIONS,262,,,770601000,3950.1,,,764563500,1881.72,
DELAWARE CITY REFINING CO,1,,,KLC INTERNATIONAL LTD.,255.92,,,720455000,3947.2,,,781940000,1868.16,
CENTURYVALLEN,1,,,FISHER SCIENTIFIC CO,255.2,,,779958211,3938.4,,,777690262,1847.26,
BEARING SERVICE CO.,1,,,PACIFIC NORTHWEST NATL,248,,,777907250,3930,,,741720310,1827.2,
CERALINK INC.,1,,,NASA MSFC,248,,,779956886,3900,,,754885000,1805.13,
DENTAL CREATIONS LTD,1,,,SERVI-SEL INC.,243.46,,,754286000,3886.85,,,791104260,1797.64,
CERAMASPEED,1,,,AKRO-FIREGUARD,231.5,,,741620310,3884.5,,,754886000,1795.1,
DEPT. OF THE NAVY,1,,,SPIRIT AEROSYSTEMS INC.,229.68,,,764827503,3861,,,779959870,1792.45,
ATI FABRICATED COMPONENTS,1,,,OHIO STAT UNIV,215.8,,,754044100,3851.5,,,779951075,1784.45,
DETECTOR TECHNOLOGY,1,,,INFINIA,203.6,,,754924014,3840,,,765664200,1777.41,
BAILEY POTTERY EQUIPMENT,1,,,AIR LIQUIDE AT REC,203.6,,,768132210,3800,,,754265000,1777.07,
DIAMOND POWER INT'L. INC.,1,,,CLEMSON UNIVERSITY,200.43,,,779261000,3792.42,,,779959123,1771.65,
ALL TEMP INSULATION,1,,,CATACEL,200,,,777780073,3789.2,,,779951269,1765.48,
DILLON SUPPLY,1,,,SEYMORE JOHNSON AIRFORCE,190.74,,,779956217,3769.56,,,779957054,1755.45,
ALLIANCE AIRCRAFT GROUP,1,,,UNITED CHIMNEY,178.72,,,777903300,3719.1,,,754044100,1754.91,
AMERICAN NATIONAL CARBIDE,1,,,UNIVERSITY OF ARKANSAS,167.5,,,739761101,3718.52,,,779958171,1745.04,
CERAMTEC NORTH AMERICA,1,,,AMECO USA,166,,,742723400,3711.15,,,764821300,1737.12,
AMERICAN POWER SERVICE,1,,,COMPLIANCE INSPECTION,162.25,,,741640310,3708,,,737811000,1735.46,
ASPEN PRODUCTS GROUP,1,,,CORVID TECHNOLOGIES,143,,,755087000,3706.12,,,779958247,1733,
BHC INTEGRATED SUPPORT,1,,,WHIPMIX,135,,,777903700,3692.82,,,754164005,1727.53,
BAKER MODULES,1,,,JONATHAN ELLIS,135,,,733545700,3667.3,,,764785130,1719.24,
AMERICRAFT MFG CO.,1,,,LARRY COOPER,100,,,779988252,3666,,,779957414,1705.78,
C P FILMS INC.,1,,,SAXON GLASS TECH INC,56.8,,,779001000,3661.49,,,770400100,1699.08,
Grand Total,7583,,,Grand Total,237925873.4,,,779959870,3658.7,,,766081200,1680.68,
,,,,,,,,779957414,3657,,,780760000,1680.33,
,,,,,,,,764465010,3645.6,,,768250020,1673.06,
,,,,,,,,792610000,3645,,,766021000,1656.72,
,,,,,,,,784400000,3643.2,,,779988954,1650.36,
,,,,,,,,774661000,3630,,,779905209,1643.52,
,,,,,,,,770244000,3596.25,,,785780000,1637.18,
,,,,,,,,793550000,3570,,,779550100,1632.48,
,,,,,,,,779988145,3568,,,751365000,1627.96,
,,,,,,,,733832010,3564,,,788100000,1626.23,
,,,,,,,,768232000,3560,,,792600000,1625.36,
,,,,,,,,739841000,3535.73,,,777903300,1625.2,
,,,,,,,,734010000,3524.75,,,793452074,1623.87,
,,,,,,,,779951269,3450.48,,,733831000,1617.31,
,,,,,,,,779951075,3435.94,,,770221000,1611.34,
,,,,,,,,764821300,3420,,,770531000,1601.64,
,,,,,,,,779201000,3419.98,,,733221050,1597.42,
,,,,,,,,770270000,3407.43,,,774981100,1596.53,
,,,,,,,,771152000,3368.4,,,770415000,1587.72,
,,,,,,,,791106280,3340.46,,,792685000,1559.49,
,,,,,,,,764563500,3320,,,754924014,1539.28,
,,,,,,,,779958862,3308.4,,,781550000,1525.01,
,,,,,,,,793452074,3299.9,,,777888897,1500.8,
,,,,,,,,780521000,3285.28,,,780521000,1497.61,
,,,,,,,,765541000,3275,,,740146000,1491.86,
,,,,,,,,737821000,3273.54,,,764803000,1488.04,
,,,,,,,,784210000,3240,,,768144210,1469.1,
,,,,,,,,734752000,3235.49,,,784400000,1463.2,
,,,,,,,,779984680,3225.6,,,765502000,1458.98,
,,,,,,,,751365000,3223.2,,,779957955,1449.33,
,,,,,,,,770320000,3219.2,,,766481000,1440.03,
,,,,,,,,766081200,3200,,,779958862,1432.1,
,,,,,,,,770310000,3198.4,,,766007000,1430.88,
,,,,,,,,777144000,3194.4,,,779956945,1424.45,
,,,,,,,,779987564,3174.08,,,784120000,1418.24,
,,,,,,,,777690562,3168.18,,,770201000,1416.44,
,,,,,,,,777888897,3160,,,780401000,1413.64,
,,,,,,,,779957702,3153.92,,,784130000,1406.78,
,,,,,,,,764803000,3150,,,770381500,1400.04,
,,,,,,,,740142500,3147.84,,,767970000,1393.91,
,,,,,,,,777720000,3142.08,,,764302000,1390.72,
,,,,,,,,774401000,3129.43,,,735751000,1380.14,
,,,,,,,,768231200,3120,,,743975000,1337.9,
,,,,,,,,737201000,3106.56,,,777902200,1334.18,
,,,,,,,,784120000,3105.32,,,780270000,1325.45,
,,,,,,,,777905411,3094.3,,,768231200,1325.15,
,,,,,,,,779181000,3086,,,764827150,1323.1,
,,,,,,,,779959123,3047.31,,,779989696,1317.03,
,,,,,,,,766481000,3000,,,791003500,1313.07,
,,,,,,,,779988954,3000,,,781660000,1304.2,
,,,,,,,,779958161,2998,,,779957820,1295.84,
,,,,,,,,785740000,2974.4,,,792654000,1292.07,
,,,,,,,,779956598,2943.84,,,770860000,1286.44,
,,,,,,,,764489300,2931.84,,,770301000,1285.98,
,,,,,,,,742491700,2929.88,,,779958691,1283.19,
,,,,,,,,779959909,2912.4,,,758531000,1282.34,
,,,,,,,,733221050,2908,,,779957176,1273.06,
,,,,,,,,779988940,2901.76,,,734861000,1270.26,
,,,,,,,,774981100,2874.8,,,735990100,1265.98,
,,,,,,,,777691062,2854.62,,,734454200,1263.2,
,,,,,,,,754265000,2840.41,,,779952104,1259.04,
,,,,,,,,781570000,2778.64,,,779986951,1257.42,
,,,,,,,,767970000,2772.62,,,779958201,1255.28,
,,,,,,,,764302000,2766,,,777902889,1254.56,
,,,,,,,,776101000,2762.65,,,764465010,1245.3,
,,,,,,,,754885000,2714.28,,,777907250,1242,
,,,,,,,,768750010,2700,,,779956887,1241.58,
,,,,,,,,768127000,2700,,,788460000,1238.43,
,,,,,,,,779986951,2700,,,779958984,1227.52,
,,,,,,,,779957722,2676,,,766081016,1211.53,
,,,,,,,,777888896,2673,,,726020030,1210.93,
,,,,,,,,779959908,2648.7,,,754255000,1202.99,
,,,,,,,,767500000,2635.2,,,764483000,1202.14,
,,,,,,,,779958201,2629.6,,,764526500,1187.39,
,,,,,,,,739721000,2627.57,,,733586505,1186.98,
,,,,,,,,779956841,2596.1,,,739454500,1186.28,
,,,,,,,,791104481,2590.16,,,791104770,1185.74,
,,,,,,,,779959183,2585.88,,,764521020,1182.44,
,,,,,,,,742501300,2583,,,779980287,1175,
,,,,,,,,764342110,2554.5,,,779958161,1170.3,
,,,,,,,,764861300,2520,,,777907222,1170,
,,,,,,,,768250020,2520,,,764861300,1167.1,
,,,,,,,,751165000,2515.78,,,764864006,1166.38,
,,,,,,,,777902891,2502,,,753967000,1163.52,
,,,,,,,,777902200,2489.27,,,791104760,1156.56,
,,,,,,,,770140000,2487.28,,,777692262,1147.89,
,,,,,,,,735990100,2480,,,780750000,1123.02,
,,,,,,,,737671000,2478.2,,,770511000,1119.27,
,,,,,,,,765664200,2457,,,742491700,1117.22,
,,,,,,,,740146000,2448.72,,,779956841,1112.38,
,,,,,,,,777691962,2446.05,,,777690462,1103.34,
,,,,,,,,766007000,2440,,,776101000,1092,
,,,,,,,,779988134,2406.72,,,777652474,1068.8,
,,,,,,,,767501000,2382.24,,,779988148,1066.4,
,,,,,,,,742546000,2376.9,,,779988833,1066.12,
,,,,,,,,742501400,2370,,,754295000,1065.19,
,,,,,,,,777692362,2357.25,,,779959414,1062.8,
,,,,,,,,779952144,2355.84,,,779958863,1062.52,
,,,,,,,,781940000,2353.58,,,770322000,1060.78,
,,,,,,,,767970110,2352.24,,,770332000,1047.73,
,,,,,,,,780270000,2345.7,,,737211000,1047.15,
,,,,,,,,779958863,2345.2,,,779952144,1038.99,
,,,,,,,,777907222,2340,,,792614000,1037.86,
,,,,,,,,779958691,2322.72,,,770231000,1035.84,
,,,,,,,,766688000,2311.5,,,733501550,1034.03,
,,,,,,,,764827150,2310,,,764461000,1029.94,
,,,,,,,,766081016,2304,,,734000006,1022.56,
,,,,,,,,726020030,2303.1,,,793346074,1016.32,
,,,,,,,,779952104,2289.15,,,777950000,1015.1,
,,,,,,,,770400000,2285.5,,,754565000,1007.4,
,,,,,,,,742548000,2275,,,751165000,1006.32,
,,,,,,,,770026100,2262.5,,,779957834,994.92,
,,,,,,,,745471000,2262,,,768243600,986.75,
,,,,,,,,791104260,2259.44,,,741041000,984.84,
,,,,,,,,779989696,2258.4,,,779959184,983.98,
,,,,,,,,777763000,2246.64,,,770830200,981.02,
,,,,,,,,792685000,2236.67,,,785740000,978.88,
,,,,,,,,764864006,2236,,,770571000,976.24,
,,,,,,,,734861000,2231.14,,,742411000,974.52,
,,,,,,,,785760000,2218.8,,,764342110,972.07,
,,,,,,,,781550000,2198.46,,,754367000,961.26,
,,,,,,,,770524000,2196,,,777690962,960.44,
,,,,,,,,764223010,2190,,,770211000,960.37,
,,,,,,,,779958984,2189,,,771130000,959.85,
,,,,,,,,788100000,2165.5,,,779956598,958.94,
,,,,,,,,784130000,2137.96,,,766121040,950.87,
,,,,,,,,737811000,2135.76,,,772101000,947.62,
,,,,,,,,777692162,2129.1,,,779988136,942.08,
,,,,,,,,779959904,2125.44,,,770568000,939.5,
,,,,,,,,779550100,2107.04,,,779986561,934.66,
,,,,,,,,764483000,2105.4,,,764826800,911.61,
,,,,,,,,768144210,2099.2,,,770303000,909.17,
,,,,,,,,780760000,2091.6,,,735750110,904.66,
,,,,,,,,766021000,2071,,,777740073,903.5,
,,,,,,,,754255000,2042.84,,,779958210,902.65,
,,,,,,,,777690662,2041.5,,,779988139,895.44,
,,,,,,,,765502000,2015,,,779957722,894.02,
,,,,,,,,779980290,2014.5,,,779980284,890,
,,,,,,,,792654000,2003,,,777720000,888.16,
,,,,,,,,735751000,2002,,,770245000,886.87,
,,,,,,,,779957834,1968.75,,,777140073,871.41,
,,,,,,,,741720310,1966.5,,,754905000,843.7,
,,,,,,,,779988146,1962.99,,,733443000,843.4,
,,,,,,,,770400100,1958.25,,,764526610,838.72,
,,,,,,,,791104770,1946.64,,,777715000,838.4,
,,,,,,,,777715000,1939.2,,,780360000,835.35,
,,,,,,,,770415000,1927.5,,,779980081,828.62,
,,,,,,,,779988833,1925.42,,,764643100,828.2,
,,,,,,,,764526610,1924.15,,,773161000,825,
,,,,,,,,777690762,1912.5,,,754864023,809.02,
,,,,,,,,793346074,1906,,,768021005,806.57,
,,,,,,,,792600000,1902,,,774631000,799.47,
,,,,,,,,780200000,1898.64,,,768222130,799.4,
,,,,,,,,791104760,1892.46,,,791104880,794.52,
,,,,,,,,770221000,1887,,,779957702,794.32,
,,,,,,,,758531000,1876.06,,,740142500,787.39,
,,,,,,,,781660000,1868.52,,,768231400,787.22,
,,,,,,,,779988147,1847.36,,,739721000,787.02,
,,,,,,,,764526500,1832.6,,,779959183,784.08,
,,,,,,,,780750000,1832.4,,,776131000,779.89,
,,,,,,,,779959180,1829.96,,,766161100,771.77,
,,,,,,,,766161100,1822,,,779958975,763.22,
,,,,,,,,770531000,1795,,,734712000,758.55,
,,,,,,,,779959184,1791.6,,,780200000,758.4,
,,,,,,,,779988148,1784,,,753987000,754.6,
,,,,,,,,754367000,1782,,,777690562,753.34,
,,,,,,,,779959414,1762.5,,,764902501,745.27,
,,,,,,,,779956887,1753.92,,,792004000,733.41,
,,,,,,,,777740073,1752.5,,,766041000,723.51,
,,,,,,,,770201000,1746,,,764487500,722.09,
,,,,,,,,768231400,1746,,,779956286,722.04,
,,,,,,,,791003500,1746,,,741021000,719.47,
,,,,,,,,764521020,1740,,,779959904,714.74,
,,,,,,,,791004100,1734.4,,,779956287,712.13,
,,,,,,,,777140073,1733.16,,,767970010,710.94,
,,,,,,,,777730022,1729.98,,,791004100,706.98,
,,,,,,,,754864023,1724.8,,,779988940,696.64,
,,,,,,,,777692062,1723.1,,,779988146,696.32,
,,,,,,,,785580000,1718.4,,,732630100,686.99,
,,,,,,,,753967000,1712.23,,,764822010,681.43,
,,,,,,,,737009817,1707,,,777691062,678.76,
,,,,,,,,779958975,1696.32,,,779988169,678.2,
,,,,,,,,774271000,1688.07,,,791104675,673.42,
,,,,,,,,754565000,1683.36,,,754247000,669.71,
,,,,,,,,777888899,1650,,,777902892,666.9,
,,,,,,,,770381500,1645.2,,,779958250,666.6,
,,,,,,,,779905209,1643.52,,,773591000,664.38,
,,,,,,,,777691662,1636.65,,,725441100,660.89,
,,,,,,,,753987000,1620.96,,,735750112,654.33,
,,,,,,,,768243600,1620,,,774301000,653.71,
,,,,,,,,785620000,1597.2,,,793520074,649.56,
,,,,,,,,764826800,1584,,,774271000,647.02,
,,,,,,,,764902501,1569.81,,,785760000,625.74,
,,,,,,,,754295000,1553.8,,,764526520,618.49,
,,,,,,,,734454200,1552.6,,,754896000,617.2,
,,,,,,,,770301000,1542.75,,,768133200,613.84,
,,,,,,,,788460000,1529.4,,,725441200,611.39,
,,,,,,,,779986561,1512,,,779959180,607.47,
,,,,,,,,777693062,1499.8,,,754275000,605.75,
,,,,,,,,743975000,1492,,,755007000,600.87,
,,,,,,,,764487500,1480,,,779952098,599.74,
,,,,,,,,772101000,1472.51,,,770312000,598.97,
,,,,,,,,768222130,1468.8,,,779121000,598.29,
,,,,,,,,775011000,1460,,,779988147,596,
,,,,,,,,779988135,1452.32,,,780620000,592.24,
,,,,,,,,766163100,1451.52,,,779301000,587.63,
,,,,,,,,764461000,1449,,,782030000,585.87,
,,,,,,,,779952145,1424.88,,,777691962,581.7,
,,,,,,,,777691762,1424.7,,,777583000,578.3,
,,,,,,,,779957171,1414.8,,,755125000,571.7,
,,,,,,,,754896000,1404.96,,,793260000,568.16,
,,,,,,,,737009842,1397.68,,,775011000,564.93,
,,,,,,,,770322000,1378,,,770120000,562.96,
,,,,,,,,779956287,1374.4,,,764223010,562.19,
,,,,,,,,754247000,1369.4,,,779952145,562.17,
,,,,,,,,734712000,1361.58,,,777692362,560.4,
,,,,,,,,770860000,1360,,,779989770,560.08,
,,,,,,,,780421000,1346.4,,,740405000,559.16,
,,,,,,,,770332000,1342.5,,,742442000,558.69,
,,,,,,,,793520074,1341.2,,,779021000,557.49,
,,,,,,,,742411000,1340,,,764266000,557.37,
,,,,,,,,737211000,1336.39,,,774751000,556.86,
,,,,,,,,733212055,1333.8,,,777692762,556.22,
,,,,,,,,774301000,1329.1,,,764561210,553.13,
,,,,,,,,779956286,1312.5,,,773131000,552.74,
,,,,,,,,792614000,1301.4,,,777731073,548.63,
,,,,,,,,764822010,1273,,,775131000,546.63,
,,,,,,,,777902889,1265.28,,,779951213,544.89,
,,,,,,,,770231000,1254.75,,,754387000,542.83,
,,,,,,,,766121040,1230,,,733218500,541.68,
,,,,,,,,770511000,1214.75,,,775151000,535.91,
,,,,,,,,780360000,1209.2,,,773501000,531.92,
,,,,,,,,777692962,1192.86,,,754427000,530.96,
,,,,,,,,779952098,1188.84,,,770620100,529.72,
,,,,,,,,780620000,1186.85,,,781800000,528.57,
,,,,,,,,734000006,1182,,,770100000,526.15,
,,,,,,,,735750110,1180,,,770250000,525.09,
,,,,,,,,777652462,1175.6,,,754864020,523.12,
,,,,,,,,777693162,1175.6,,,774191000,521.14,
,,,,,,,,770211000,1175,,,767970020,520.92,
,,,,,,,,737009844,1166.64,,,781835000,519.48,
,,,,,,,,779958250,1161.36,,,753997000,515.98,
,,,,,,,,791104675,1153.67,,,777692162,506.22,
,,,,,,,,777730020,1151.22,,,733442000,497.05,
,,,,,,,,779957703,1150.6,,,771991000,487.39,
,,,,,,,,777652762,1147.32,,,777690662,485.38,
,,,,,,,,777652862,1147.32,,,779959124,484.94,
,,,,,,,,770245000,1146.79,,,768231300,479.65,
,,,,,,,,764523010,1139.8,,,770501000,479.56,
,,,,,,,,777652562,1132.95,,,764484003,476.58,
,,,,,,,,782030000,1130.4,,,779959402,465,
,,,,,,,,781800000,1124.82,,,733212055,462.1,
,,,,,,,,792004000,1119.68,,,754297000,458.14,
,,,,,,,,766041000,1100,,,764483600,458.08,
,,,,,,,,777902886,1098.24,,,766163100,455.54,
,,,,,,,,777904402,1098,,,777690762,454.74,
,,,,,,,,770571000,1076.4,,,777902887,450,
,,,,,,,,764561210,1066,,,777763000,448.8,
,,,,,,,,732630100,1062,,,735751020,443.27,
,,,,,,,,773161000,1060.29,,,777902888,441,
,,,,,,,,775131000,1052.1,,,770392700,440.98,
,,,,,,,,771130000,1030.2,,,779958220,439.51,
,,,,,,,,770568000,1029,,,779958694,437.83,
,,,,,,,,779958696,1027.2,,,770514000,432.22,
,,,,,,,,741041000,1026.72,,,771172000,432.07,
,,,,,,,,768231300,1025,,,774201000,431.58,
,,,,,,,,733443000,1024.5,,,741600310,421.88,
,,,,,,,,770830200,1010,,,737009844,410.08,
,,,,,,,,754905000,1004.76,,,777692062,409.74,
,,,,,,,,791104880,975.11,,,779956289,405.7,
,,,,,,,,733442000,975,,,779980289,405,
,,,,,,,,764601500,969,,,779988847,399.02,
